"","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILLPCA1","BILLPCA2","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
"1",1,20000,"2","2","1",24,2,2,-1,-1,-2,-2,-107289.378430585,1830.69802123947,0,689,0,0,0,0,"1"
"2",2,120000,"2","2","2",26,-1,2,0,0,0,2,-103860.70264958,-3334.48840244348,0,1000,1000,1000,0,2000,"1"
"3",3,90000,"2","2","2",34,0,0,0,0,0,0,-68874.7384692017,2603.12751175047,1518,1500,1000,1000,1000,5000,"0"
"4",4,50000,"2","2","1",37,0,0,0,0,0,0,-14775.0247681463,11322.3937590379,2000,2019,1200,1100,1069,1000,"0"
"5",5,50000,"1","2","1",57,-1,0,-1,0,0,0,-66777.1162910596,-15897.81442882,2000,36681,10000,9000,689,679,"0"
"6",6,50000,"1","1","2",37,0,0,0,0,0,0,-9872.68190410607,36494.874996989,2500,1815,657,1000,1000,800,"0"
"7",7,5e+05,"1","1","2",29,0,0,0,0,0,0,989187.983042263,-207439.847029668,55000,40000,38000,20239,13750,13770,"0"
"8",8,1e+05,"2","2","2",23,0,-1,-1,0,0,-1,-104736.240469511,4890.22797045892,380,601,0,581,1687,1542,"0"
"9",9,140000,"2","3","1",28,0,0,2,0,0,0,-83691.2090767468,601.603558582367,3329,0,432,1000,1000,1000,"0"
"10",10,20000,"1","3","2",35,-2,-2,-2,-2,-1,-1,-100983.831708474,-14556.9459999982,0,0,0,13007,1122,0,"0"
"11",11,2e+05,"2","3","2",34,0,0,2,0,0,-1,-96055.5996442832,5378.91908450791,2306,12,50,300,3738,66,"0"
"12",12,260000,"2","1","2",51,-1,-1,-1,-1,-1,2,-74904.4023868287,-4867.15853026807,21818,9966,8583,22301,0,3640,"0"
"13",13,630000,"2","2","2",41,-1,0,-1,-1,-1,-1,-93605.789860565,2021.57536836761,1000,6500,6500,6500,2870,0,"0"
"14",14,70000,"1","2","2",30,1,2,2,0,0,2,29708.4048807202,13202.0143008147,3200,0,3000,3000,1500,0,"1"
"15",15,250000,"1","1","2",29,0,0,0,0,0,0,42352.9681286465,-1208.39157344394,3000,3000,3000,3000,3000,3000,"0"
"16",16,50000,"2","3","3",23,1,2,0,0,0,0,-30043.738333067,3555.46825670591,0,1500,1100,1200,1300,1100,"0"
"17",17,20000,"1","1","2",24,0,0,2,2,2,2,-67713.8950015372,-7437.68069456202,3200,0,1500,0,1650,0,"1"
"18",18,320000,"1","1","1",49,0,0,0,-1,-1,-1,294327.888592219,128690.290441806,10358,10000,75940,20000,195599,50000,"0"
"19",19,360000,"2","1","1",49,1,-2,-2,-2,-2,-2,-110707.185535647,-1602.24528196806,0,0,0,0,0,0,"0"
